UserNum;Bob;Arthur;Kevin
17;NARITAKE1;SUNDAE;ELROSARIO
19;CHEZ_FELIX;DRAGON_DOR1;DOENJANG
20;ARLECCHINO;KILALA;OKINAWA
21;GENTILLIERE1;BAROCCO1;BIZAN
23;IL_GUSTA_PASTA;CERDAGNE;IL_PINOCCHIO
24;NAGOYA;ROSERAIE;MILANO
25;PETIT_BONNEVAL;SONG_HOAT;TEXAS_CITY
26;BELLA_ITALIA1;VONG;PHOU_KHET
27;VIVA_MEXICO;DOLCE_ITALIA;BLUE_PASTA
28;KAMADO;DRAGON_1;DRAGON_1
29;YEN;TAKEO;YAMATO
30;AKI;BOSSAM;ELTEX_MEX
31;KILALA1;TAKEO;KICCHO
32;ELSOMBRERO1;YASAMI;BLUE_PASTA1
33;FEZ;KILALA;LIDO
34;SAPPORO12;CAFFE_DITALIA1;YAMATO
35;LES_PICHOLINES;HIGUMA1;ODEON
36;VAL_DAMBY;BABYLON_HOOKAH_LOUNGE1;SOON
37;SHINGANE;KEY_WEST;DELLA_NONNA
38;LIDO;SUNDAE;DEL_ARTE
39;BIZAN;JUJI;BOSSAM
40;CHINA_EXPRESS;KOREAN_BARBECUE;MAVI_MEZE_GRILL
41;SANDIA;KOKOREC;CAPRI_PIZZA
42;TACOMEX;DOLCE_PASTA;ODEON
44;INDOCHINE;USKUDAR2;SOBANE
45;SHINGANE;ANGOLO_ITALIA1;DOTORIMUK1
46;EN_BONNE_COMPAGNIE;SAKURA;AU_SOLEIL_ITALIEN
47;ANATOLIA1;MEX_SOUTH;BLUE_PASTA1
48;RELAIS_FLEURI;PAPILLON1;RELAIS_FLEURI
49;MOULIN;BEITALIE;AIR_DU_TEMPS
50;CHO_GAO1;MEX_SOUTH;PAPILLON1
51;HOBAKJUK;SOBANE;ASIA_PARFUM
52;NARITAKE1;BUONA_PASTA1;BUONA_PASTA1
53;ELNOPAL1;IL_GUSTA_PASTA;ELNOPAL1
54;GENTILLIERE1;OCEANIS;MOULIN_DE_PLANCHE
55;CASA_281;ASIA_STAR1;SANDIA
56;SUN;BUONA_PASTA1;BIZAN
57;MEXICANA1;HANLIMA;AZTECA
58;DELLA_NONNA;LES_PICHOLINES;SAINT_HONORE
59;TAKSIM_SQUARE;EDOKKO;KOBA
60;MOULIN1;SAPPORO12;OTACOS
61;BONG1;FOUJITA;SAINT_HONORE
62;BOUDOR1;FOUJITA1;YYOTAN
63;CHIM;JAPORAMA;BOUDOR1
64;HIGUMA1;IZNIK;TILLEULS
65;JUJUBE;AU_SOLEIL_ITALIEN1;CHINA_STAR
66;CAPRI_PIZZA;BIBIMBAP1;YANG
67;HIGUMA1;BLUE_PASTA1;GENTILLIERE1
68;ANTIQUE_GARAGE;PHENIX_;KOFUKU
69;WOO_JUNG;ROSERAIE1;DAI_DUONG1
70;JANTCHI;GLYCINES;VIEUX_PRESSOIR
71;TSUKIZI;HOBAKJUK;BULGOGI
72;JAPORAMA;VIEUX_PRESSOIR1;NODAIWA1
73;DEL_GLADIATORE;BARAMAKI;KYOTO
74;AYZA_WINE1;AYZA_WINE1;DERYA
75;ELIO_RISTORANTE;LION;EDOKKO1
76;LES_PICHOLINES;CHANGAIS1;HOUSTON_TEX_MEX
77;A_CITADELLA;ESTERINA;KOESTU1
78;COSTA_COSTA;ADELITA;VAL_DE_SAVE
79;LE_VISCONTI;DENIZ;LES_SERENADES
